motivos,crec,cred,equ,inic,inv,mkt,no,renta,sueldo,temp
"50% capital de trabajo, 50% pago inversiones en inmuebles",0,0,0,0,0,0,0,1,0,0
PARA FORMALIZAR OFICINAS OPERATIVAS Y TENER CAPITAL PARA CONTRATAR MAS PERSONAL Y PODER GARANTIZAR LOS SUELDOS MIENTRAS COMIENZAN A GENERAR Y TIENE PRODUCTIVIDAD,0,0,0,1,0,0,0,0,1,0
Soy empleado trabajo bajo comisiones soy agente promotor de afores,0,0,0,0,0,0,1,0,0,0
Para expandirlo ofrecer mas servicios para ganar mas.,1,0,0,0,0,0,0,0,0,0
Para invertir en materia prima y pagar unas renta del local y invertir en materiales,0,0,0,0,1,0,0,1,0,0
Para compra de mercancía mi negocio vende ropa típica artesanal huaraches y zapatos artesanales juguetes,0,0,0,0,1,0,0,0,0,0
Rentare un espacio y pondré equipos básicos de entrenamiento así como asesoría nutricional y estación de bebidas para degustar para aclientarcel espacio será difundido por redes sociales personalmente y recomendaciones.,0,0,0,1,0,0,0,1,0,0
Mobiliario y Equipo para jardin que no esta siendo utilizado en este momento.,0,0,1,0,0,0,0,0,0,0
Mi negocio es de renta de vehiculos de transporte para pasajeros y necesito mas capital para adquirir mas camionetas para ganar mas clientes.,0,0,1,0,0,0,0,0,0,0
Para comprar más herramientas y reparar mi vehículo,0,0,1,0,0,0,0,0,0,0
Para invertirlo en el mismo negocio y obtener más ganancias,1,0,0,0,0,0,0,0,0,0
lo usare en  Equipo de sonido y Trajes para las actuaciones.,0,0,1,0,0,0,0,0,0,0
COMPRA DE MERCANCIAS PARA PAPELERIA Y MOSTRADORES Y PUNTO DE VENTA,0,0,0,0,1,0,0,0,0,0
Inversion inicial  para expandir el platio de naranjas para luego exportarlas,0,0,0,1,0,0,0,0,0,0
Crédito para refacciones automotrices carros,0,0,0,0,1,0,0,0,0,0
Mi proyecto es comprar Productos Desechables Biodegeadables  que regresan a su origen natural en un lapso de 90 a 45 días. Para conseguir precio de Distribuidor la inversión mínima  es 50000.00 pesos. Mis ventas son por facebook necesito unidad de entrega a domicilio,0,0,0,1,0,0,0,0,0,0
para comprar una maquina que corte y dimencione madera aluminio vidrio pdf entre otros para hacer figuras y venederla,0,0,1,0,0,0,0,0,0,0
Comprar salón de fiestas infantiles es un spa de niñas con 8 años de prestigio,0,0,0,0,0,0,0,1,0,0
"inyección de capital, somos proveedores de walmart pero hemos tenido problemas con los pagos de las facturas, y el prestamo seria para seguir trabajando sin problemas en lo que regularizan los pagos",0,1,0,0,0,0,0,0,0,0
PUES  MAS  QUE  NADA  PARA  PAGAR  MIS  ASUNTOS  ATRAZADOS   Y  COMPRA  MATRIAL   PARA   MIS PROMOCIONALES  QUE  YA  TENGO  EN  PUERTA.,0,0,0,0,0,1,0,0,0,0
Impulsar mi negocio produccion de prendas y publicidad,1,0,0,0,0,1,0,0,0,0
Equipamiento. Compra de aparatos especializados,0,0,1,0,0,0,0,0,0,0
COMPRA DE INVENTARIO VEHÍCULOS RESIDENCIALES SEMINUEVOS,0,0,0,0,1,0,0,0,0,0
Enganche para otra unidad o adquisición de otro vehículo para ir agrandado la flotilla,0,0,1,0,0,0,0,0,0,0
"El crédito lo requiero para poder comprar dos aparatos de descarga que sirve  analizar baterías industriales, ya que actualmente sólo cuento con un sólo equipo porque el otro que tenía nos lo robaron hace un par de meses y con el que tenemos no logramos atender a todos los clientes rápidamente.",0,0,0,0,1,0,0,0,0,0
Para contratar servicios para franquiciar la empresa,1,0,0,0,0,0,0,0,0,0
Invirtiendo en insumos o mercancia para mi negocio,0,0,0,0,1,0,0,0,0,0
Lo voy a usar para venta de bolsas y productos de belleza Mary Kay y Terra Mar,0,0,0,0,1,0,0,0,0,0
Capital de trabajo y materias primas. Aumentar los inventarios ampliando asi la variedad para satisfacer las necesidades del mercado y clientes directos. Poner sistemas de seguridad y electronicos para la efectividad operacional.,0,0,0,0,1,0,0,0,0,0
Para comenzar a crear la empresa y operar.,0,0,0,1,0,0,0,0,0,0
COMPRA DE EQUIPO PARA COBERTURA DE INTERNET,0,0,1,0,0,0,0,0,0,0
Capital de Trabajo Compra y venta de equipo informático,0,0,1,0,0,0,0,0,0,0
Compra de equipamiento de linea nueva en conmutadores para distribucion,0,0,1,0,0,0,0,0,0,0
Compra de material para conclusión de una obra y poder cobrar ese trabajo,0,0,1,0,0,0,0,0,0,0
Compra de insumos para negocio de manufactura industrial,0,0,0,0,1,0,0,0,0,0
Implementar una maquina de bordado para brinda un nuevo servicio a mis clientes,0,0,1,0,0,0,0,0,0,0
Comprar herramientas para ajustes de motor,0,0,0,0,1,0,0,0,0,0
Compra de materiales para mi negocio de pizzas,0,0,0,0,1,0,0,0,0,0
Inversión de materiales.................,0,0,0,0,1,0,0,0,0,0
Compra de insumos equipos y pago de deudas,0,1,1,0,0,0,0,0,0,0
Para invertir en una buena cantidad de mercancía zapatos lo que se pueda comprar para comenzar un buen negocio,0,0,0,0,1,0,0,0,0,0
Para expardir en muchos sentidos la empresa,1,0,0,0,0,0,0,0,0,0
Con el puedo unificar mis titos y hacer una invercion en mercancia para aumentar las ventas estamos en una muy buena hubicacion y podemos progresar muy pronto,0,0,0,0,1,0,0,0,0,0
Compra de impresora de tabloides compra de plotter de corte de vinil y material propio para las maquinas.,0,0,1,0,0,0,0,0,0,0
Pera invertir en otra sucursal y compra de mercancia y mobiliario,0,0,0,0,1,0,0,1,0,0
compra de equipo para expandir los servicios que se prestan,0,0,1,0,0,0,0,0,0,0
Inversion pantalla led pitch 3.9 3x2 metros,0,0,1,0,0,0,0,0,0,0
Quisiera invertirlo en comprar productos diferentes para ofrecer en la tienda.,0,0,0,0,1,0,0,0,0,0
Poner al corriente con las obligaciones fiscales,0,1,0,0,0,0,0,0,0,0
Contratare tres personas más para poder seguir creciendo esto implica gastos en equipo para estas personas.,0,0,0,0,0,0,0,0,1,0
Promover pólizas de servicios funerarios con publicidad y promoción tanto en  la iniciativa privada como en el sector gubernamental esto con el fin de que la gente tenga una póliza con nosotros y así poder tener liquidez mes con mes tenemos una excelente estrategia para poder llegar a nuestra meta,0,0,0,1,0,0,0,0,0,0
Para comprar mas mercancia de abarrotes y binos y licores,0,0,0,0,1,0,0,0,0,0
Maquinaria para grabado de piezas esclavas anillos y placas surtir inventario de piezas ademas de implementar el proyecto para convertirnos en proveedora de relojeros en la ciudad ya que solo se cuenta con una sola empresa que cumpla ese requisito en el estado,0,0,1,0,0,0,0,0,0,0
Inversion en mercancía para expansión la empresa recientemente fue fundada y se usará la inversión para dar imagen y expansión de la misma para tener un crecimiento exponencial.,0,0,0,0,1,0,0,0,0,0
deseo adquirir un trailer y una caja de 53 ft para fletes de mercancias,0,0,1,0,0,0,0,0,0,0
Mejoras de mobiliario.. protecciones y material,0,0,1,0,0,0,0,1,0,0
Invertire en mi negocio de BETERWARE para tener asociadas y aumentar las ventas,0,0,0,0,1,0,0,0,0,0
Comprar mercancia electronica para celulares accesorios bluethuee,0,0,0,0,1,0,0,0,0,0
Gastos personales compra de algunas cosas,0,0,0,0,0,0,1,0,0,0
Se usará el dinero para constituir ceccif y comprar lo necesario para darle forma y para brindar servicios periciales desde la perfilacion la parte jurídica psicológica y pericial.,0,0,0,1,0,0,0,0,0,0
Inversión en materiales motores y maquinaria para acrecentar el negocio,0,0,1,0,0,0,0,0,0,0
Compra de equipo y mobiliario médicos. Insumos y materiales.,0,0,1,0,0,0,0,0,0,0
Invertir en material para mi negocio como son telas  encajes y listones.,0,0,0,0,1,0,0,0,0,0
Somos una empresa de comercialización de empaques ya tenemos un negocio de comida para venta a escuelas y venta al publico. Por nuestra buena relación con las escuelas estamos haciendo acuerdos para fabricar unformes de las escuelas.  El dinero es para financiar la materia prima de los uniformes.,0,0,0,0,1,0,0,0,0,0
Es compra de becerros y engordarlos venderlos y seguir comprando para ir generando ganancias e ir creciendo,0,0,0,1,0,0,0,0,0,0
Inversión para negocio nuevo Equipos de cómputo,0,0,1,1,0,0,0,0,0,0
Quiero invertir en un vehiculo para la distribucion de mi producto,0,0,1,0,0,0,0,0,0,0
Para capitalizarlo más de productos del negocio,0,0,0,0,1,0,0,0,0,0
Invertiría en en Marketing Digital y en un departamento de desarrollo de ventas,0,0,0,0,0,1,0,0,0,0
Comprar maquinaria para poder maquilar como cortar lámina y doblar,0,0,1,0,0,0,0,0,0,0
Realizar vestuarios folkloricos para poder rentarlos a nivel primaria secundaría bachillerato así como nivel universitario. Ya que en el area de influencia no hay una empresa que se dedique a la renta de vestuarios y se realiza fuera de la ciudad por lo que es ideal para realizarlo,0,0,0,1,1,0,0,0,0,0
COMPRA DE MERCANCÍADE LABORATORIO  Y CURACIÓN,0,0,0,0,1,0,0,0,0,0
INVERSIÓN DE PRODUCTO POR NUEVA TEMPORADA EN EL CALZADO Y EL REGRESO A CLASES SE COMPRARA UN SISTEMA QUE ME LLEVE LA CONTABILIDAD DIGITAL Y CONTROL EN LAS VENTAS.,0,0,0,0,0,0,0,0,0,1
Materiales para construcción y herramientas de impacto y mangueras para lograr efectividad en el desarrollo de proyectos pendientes,0,0,1,0,0,0,0,0,0,0
El préstamo lo utilizaría para hacer crecer el negocio ya que contamos con caridades de platillos para las familias más que nada es llegar nuestro sabor a las familias tabasqueñas,1,0,0,0,0,0,0,0,0,0
Montar una oficina en lugar lugar estrategico para ventas,0,0,0,0,0,0,0,1,0,0
Enganche de dos autos para aumentar flotilla de carros uber,0,0,1,0,0,0,0,0,0,0
Compra de materiales para elaboración y fabricación,0,0,1,0,0,0,0,0,0,0
Necesito comprar un plotter de impresión  y establecer un punto de venta cerca de alguna avenida para poder incrementar mis ventas y hacer crecer mi negocio soy Emprendedora y me gustan las ventas tengo buen trato con el cliente y yo manejo todas las herramientas de trabajo,0,0,1,0,0,0,0,0,0,0
Compra de mercadería e instalaciones  nuevas,0,0,0,0,0,0,0,1,0,0
En mobiliario y publicidad para llegar a más entidades,0,0,0,0,0,1,0,1,0,0
Comprar un terreno y una laminadora para empezar a hacer yo mismo lo que vendo en cantera así poderles dar mejor costo a mis clientes también quiero comprar materia prima para invertir más y poder exportar a USA,0,0,1,0,1,0,0,0,0,0
Quiero construir una infraestructura apropiada para mi negocio pues a como inicié se conserva aún y pues mi crecimiento ya amerita contar con espacios adecuados a mí mismo crecimiento pues distribuyo en todo Sinaloa y en Baja California y me gustaría poder seguir atendiendo más clientes,1,0,0,0,0,0,0,0,0,0
"Marketing y publicidad , adquisicion de equipo de computo",0,0,1,0,0,1,0,0,0,0
Para materia prima y mobiliarios y equipo de trabajo,0,0,1,0,1,0,0,1,0,0
QUIERO SURTIR MI NEGOCIO DE ALFARERÍA Y REGALOS PARA TODA OCASIÓN.,0,0,0,0,1,0,0,0,0,0
Compra de equipo de computo e inversión e cursos de capacitación.,0,0,1,0,0,0,0,0,0,0
Compra de equipo y pago de algunos imprevistos,0,0,1,0,0,0,0,0,0,0
Adquisicion de herramienta y refacciones para el mismo negocio es taller mecanico,0,0,1,0,0,0,0,0,0,0
MERCANCÍA HERRAMIENTAS MATERIAL ELÉCTRICO ETC.,0,0,1,0,0,0,0,0,0,0
para realizar pago de seguro y capacitación de personal para obtener las dc3 y material,0,0,1,0,0,0,0,0,1,0
"Marketing y publicidad , adquisicion de equipo de computo",0,0,0,0,0,1,0,0,0,0
utilizaré el credito para pagar algunas deudas y fortalecer la publicidad de mi negocio para incrementar ventas e ingresos.,0,1,0,0,0,1,0,0,0,0
SE REQUIERE PARA FINANCIAR VENTAS A CREDITO A CLIENTES,0,1,0,0,0,0,0,0,0,0
El negocio es de venta de pañales ecológicos y quiero invertir  en mercancía,0,0,0,0,1,0,0,0,0,0
Pagar servicios del local para seguir creciendo con mi empresa,0,0,0,0,0,0,0,1,0,0
Mejora de ubicación y mobiliario pago se servicios y posible ampliación,1,0,1,0,0,0,0,0,0,0
Somos una empresa que tiene dos actividades claves desarrollo de software y cursos de programación para empresas. Así que invertiría el crédito para aumentar la fuerza laboral actual ya que la demanda de proyectos de software ha crecido y en adquirir equipo para ampliar la gama de cursos,0,0,0,0,0,0,0,0,1,0
Para comprar herramientas y mejoras en el negocio,0,0,1,0,0,0,0,0,0,0
pagos de activos y compra de motores lona materiales para los inflable,0,0,1,0,0,0,0,0,0,0
Para adquisición de equipo digital de ultima generacion,0,0,1,0,0,0,0,0,0,0
para ampliar un negocio de joyeria de acero inoxidable,1,0,0,0,0,0,0,0,0,0
Compra de stock para satisfacer rápidamente la demanda de mis clientes ademas de cumplir mas rapidamente los pedidos lo que me generara muchos ahorros por concepto de pago de transporte de mercancias.,0,0,0,0,1,0,0,0,0,0
Invertir en equipo de oficina para la creación de renders y diseño ademas de maquinaria ligera y herramientas para la construccion.,0,0,1,0,0,0,0,0,0,0
invertir en nueva sucursal comprando equipo y utilizando para adapatacion de local,0,0,0,0,0,0,0,1,0,0
Reinversion para la compra de mas material y asi poder crecer y diversificarme,0,0,0,0,1,0,0,0,0,0
Me gustaria expander mi refaccionaria aun mas ya tengo los clientes. Solo me falta mas variedad en refacciones.,0,0,0,0,1,0,0,0,0,0
COMPRA DE MOBILIARIO Y EQUIPO PARA NUEVA AREA DE CALL CENTER,0,0,1,0,0,0,0,0,0,0
Soy Cirujano Maxilofacial actualmente trabajando para dentistas en SUS consultorios. Mi meta es iniciar con mi propio consultorio en el cual necesito de todo el inmobiliario y de publicidad para el mismo por lo cual necesito realizar una inversión fuerte de inicio,0,0,0,1,0,0,0,1,0,0
Desarrollaremos software y se contratará dos personas,0,0,0,0,0,0,0,0,1,0
PARA LA ADQUISICIÓN DE UN CAMIÓN EN EL CUAL PUEDA ENTREGAR A MIS CLIENTES LA MERCANCÍA,0,0,1,0,0,0,0,0,0,0
Para invertir en mi negocio y así generar mayores ganancias,1,0,0,0,0,0,0,0,0,0
Comprar una bomba de concreto un renta mínima de bomba son 15m3 a 180 el m3 y mínimo son 2 servicios al día,0,0,1,0,0,0,0,0,0,0
El nombre de la marca es MINA el crédito lo usaría para compra de materiales para elaborar y vender muebles para bebés y decoración de recámaras para los mismos desde un peluche para decoración hasta un closet o un juguetero,0,0,1,0,0,0,0,0,0,0
Quiero comprar mercancía vendo perfumes y tengo ganancias de 100 de lo que venda. Les agradezco su apoyo. Siempre pago lo que debo,0,0,0,0,1,0,0,0,0,0
lo necesitamos para poder terminar el area de quirofano y hospitalizacion ya que se trata de servicios medicos,1,0,0,0,0,0,0,0,0,0
Necesito capital para la compra de materiales y publicidad para iniciar un proyecto de un club social de ajedrez.,0,0,1,0,0,1,0,0,0,0
Enganche un loft. Y deseo un credito para pagarlo y arrendarlo,0,0,0,0,0,0,1,0,0,0
Para comprar mas artículos para vender en mi tienda,0,0,0,0,1,0,0,0,0,0
Para contratación de personal y expansión,0,0,0,0,0,0,0,0,1,0
Este crédito lo usaría para un Financiamiento,0,0,0,1,0,0,0,0,0,0
"CAPITAL DE TRABAJO , YA QUE TENGO LICITACIONES GANADAS Y YA CON CONTRATOS",0,0,0,1,0,0,0,0,0,0
Pagar deudas por vencer. Capitalizarla..,0,1,0,0,0,0,0,0,0,0
"Equipo de computo, mobiliario y oficinas.",0,0,1,0,0,0,0,1,0,0
Mobiliario y software y equipos de cómputo,0,0,1,0,0,0,0,0,0,0
PARA INICIAR UNA MISCELANEA  PARA LA VENTA DE VIVERES,0,0,0,1,0,0,0,0,0,0
Abastecer demanda de los clientes en las ventas de la empresa,1,0,0,0,0,0,0,0,0,0
"Invertir en nuevas oportunidades de negocio, y reducir algunos pasivos.",1,1,0,0,0,0,0,0,0,0
Para adquirir un terreno y fincar las instalaciones de mi negocio,0,0,0,0,0,0,0,1,0,0
MEJORIAS DEL LABORATORIO COMPRA DE EQUIPOS Y MATERIAL,0,0,1,0,0,0,0,0,0,0
Quiero ampliar mi negocio y quiero comprar equipo,1,0,1,0,0,0,0,0,0,0
En la compra de harina de nixtamal Minsa para incrementar el inventario u poder tener una mayor venta   ya que con la inversión actual es limitado el número de clientes,0,0,0,0,1,0,0,0,0,0
"Como capital de trabajo, para compra de material, herramienta e insumos",0,0,0,0,1,0,0,0,0,0
AMPLIACION DE OFICINASCOMPRA DE MATERIALES NECESARIOS PARA EJECUTAR PROYECTOS,0,0,0,0,1,0,0,1,0,0
Comprare más insumos para poder ampliar mi red de servicios.,0,0,0,0,1,0,0,0,0,0
para compra de equipo decomputo y mobiliario y equipo,0,0,1,0,0,0,0,0,0,0
Para compra de maquinaria e insumos de mantenimiento  ,0,0,1,0,0,0,0,0,0,0
En mi esetica y invercion de un taxi  y mi negocio qe estainstalado nada quiero invertir,0,0,0,1,0,0,0,0,0,0
Mi esposa esta enferma de la columna y necesito pagar estudios y honorarios medicos,0,0,0,0,0,0,1,0,0,0
Para financiar el inicio de obra en una licitación que se ganó.,0,0,0,1,0,0,0,0,0,0
Enganche de vehiculo nuevo en agencia 2020,0,0,0,0,0,0,1,0,0,0
Comprar materiales para vender y comprar productos,0,0,0,0,1,0,0,0,0,0
Inversion pagos y remodelacion de inmueble,0,1,0,0,0,0,0,1,0,0
en compra de herramienta industrial para carpinteria,0,0,1,0,0,0,0,0,0,0
Es para financiar la compra de mas unidades para ponerlas a trabajar,0,0,1,0,0,0,0,0,0,0
Para invertirlo y hacer más eficiente mi trabajo,1,0,0,0,0,0,0,0,0,0
Tengo 2 autos en Uber y quiero hacer crecer mi flotilla.,0,0,1,0,0,0,0,0,0,0
Hacer un cambio en el giro comercial y de requiere compra de equipo,0,0,1,0,0,0,0,0,0,0
Quiero comprar productos nuevos y repar un carro de reparticion.,0,0,0,0,1,0,0,0,0,0
invertir en mercancía y consumibles  así como impresoras,0,0,0,0,1,0,0,0,0,0
Para meterle inversión a mi negocio y poder darle un bien inicio pará que vaya creciendo con presto al paso de los años,0,0,0,1,0,0,0,0,0,0
Para compra de equipo de construcción tal como soldadoras esmeriladoras taladros y lo relacionado con el ramo,0,0,1,0,0,0,0,0,0,0
Comorar una calandra para sublimar gran formato,0,0,1,0,0,0,0,0,0,0
Para invertir y dar mantenimientos a los equipos para que esten en optimas condiciones.,0,0,1,0,0,0,0,0,0,0
Necesito invertir para cancelación de varias deudas y convertirla a una sola,0,1,0,0,0,0,0,0,0,0
Expansión del negocio y capital izarnos más,1,0,0,0,0,0,0,0,0,0
Remodelar mi consultorio para darle un mejor servicio a mis pacientes,0,0,0,0,0,0,0,1,0,0
Invertire en publicidad para mi empresa en inventario para las ventas en equipo de computo y mercadotecnia para expandirlo.,0,0,0,0,0,1,0,0,0,0
Capital de trabajo proyecto con contrato firmado,0,0,0,1,0,0,0,0,0,0
Equipo de impresión digital para ampliar la oferta de servicios y así atraer clientes,0,0,1,0,0,0,0,0,0,0
COMPRA DE MATERIAL PARA TEMPORADA ESCOLAR,0,0,0,0,0,0,0,0,0,1
Para capital de Trabajo elaboración de moldes y compra de materia prima,0,0,0,0,1,0,0,0,0,0
El credito seria para adaquirir equipo y un auto utilitario para poder dar sevicio a mis clientes,0,0,1,0,0,0,0,0,0,0
Para construir el salón   De eventos  donde impartir cursos  a los empleados del ingenio san miguel  del naranjo donde actualmente  prestó mis servicios,0,0,0,0,0,0,0,1,0,0
Comprar accesorios y suministros discos duros memorias RAM pantallas para dar soporte técnico y mantenimiento de computadoras,0,0,1,0,0,0,0,0,0,0
quiero construir sobre un terreno que tengo para generar más ingresos,0,0,0,0,0,0,0,1,0,0
Tenemos en marcha la remodelación de nuestras instalaciones y la apertura de una nueva sucursal,1,0,0,0,0,0,0,1,0,0
Liquidar deudas unificar para poder liquidar,0,1,0,0,0,0,0,0,0,0
Inversiónalmacenaje fletes y comercialización,1,0,0,0,0,0,0,0,0,0
Para introducir mas mercancía como lo son jaulas comederos y más alimentos,0,0,0,0,1,0,0,0,0,0
Inversión de bicicletas y refacciones para poder brindar un mejor servicio.,0,0,0,0,1,0,0,0,0,0
Para poner una oficina y contratar personal,0,0,0,0,0,0,0,1,1,0
PARA ADQUIRIR MAS MERCANCIA Y MEJORA DE IMAGEN,0,0,0,0,1,1,0,0,0,0
Compra de herramientas y seguir estudios,0,0,1,0,0,0,0,0,0,0
"pagos de nominas, materiales para obra en ejecucion y solvencia ",0,0,0,0,0,0,0,0,1,0
Capital de trabajo  instalación de cuartos fríos y compra de mercancía,0,0,0,0,1,0,0,0,0,0
COMPRA DE MERCANCIAS E IMAGEN LOCAL COMERCIAL,0,0,0,0,1,1,0,0,0,0
Inversión en equipo de grabación creación proyecto alterno de marketing de contenido fortalecer fuerza de ventas.,0,0,0,0,0,1,0,0,0,0
RENOVACION DEL EQUIPO TECNOLÍGICO REMODELACIÓN DEL ESPACIO DE TRABAJO,0,0,0,0,0,0,0,1,0,0
COMPRA DE MERCANCIAS PARA REVENTA ASI COMO PUBLICIDAD,0,0,0,0,0,1,0,0,0,0
NECESITO COMPRAR UN REFRIGERADOR NUEVO EL,0,0,1,0,0,0,0,0,0,0
marketing y recursos humanos para aumentar las ventas y capacidad de respuesta a clientes,0,0,0,0,0,1,0,0,1,0
"Adquisición de mercancias para la temporada de cierre de año, apalancamiento para introducir nuevos productos. Se diversificara en diferentes rubros, tenemos facturas que aun no cobramos y ellas garantizan nuestra liquidez en los siguientes meses. ",0,0,0,0,0,0,0,0,0,1
Inversión en mercancía para poder incrementar las ventas y por consiguiente las ganancias,0,0,0,0,1,0,0,0,0,0
En herramienta y mejoras en las areas de trabajo,0,0,1,0,0,0,0,0,0,0
Compra de mobiliario y equipo para la ampliación de Call Center. ,0,0,1,0,0,0,0,0,0,0
CONSTRUCCIÓN DE OFICINAS COMPRA DE TECNOLOGÍA Y PREPARACIÓN CONTINUA,0,0,0,0,0,0,0,1,0,0
En surtir mercancía POR QUE MA HECE FALTA MATERIAL,0,0,0,0,1,0,0,0,0,0
"CAPITAL DE TRABAJO, SERVIRA PARA DAR SERVICIO A CONTRATOS ACTUALES, PAGO A PROVEEDORES",0,1,0,0,1,0,0,0,0,0
Pago de créditos y tarjetas e inversión en mercancía,0,1,0,0,1,0,0,0,0,0
CAPITAL DE TRABAJO Y PAGO DE PASIVO; COMPRA DE MATERIALES COMO VALVULAS ETC..,0,0,1,0,0,0,0,0,0,0
Inversión de insumos para mí negocio así como inversión en medios sociales para difundir la marca.,0,0,0,0,1,1,0,0,0,0
Reabastecer mi negocio con mercancía nueva,0,0,0,0,1,0,0,0,0,0
Capital de Trabajo para entregar toda la producción de los uniformes y equipo de contratos con nuestros clientes ,0,0,0,0,1,0,0,0,0,0
Para compra de productos e utensilios para la cocina,0,0,1,0,0,0,0,0,0,0
Para comprar herramientas y productos para mi salon de belleza,0,0,1,0,0,0,0,0,0,0
"CAPITAL DE TRABAJO, COMPRA DE INSUMOS Y MATERIALES",0,0,0,0,1,0,0,0,0,0
Lo usare para tratamiento de una enfermedad,0,0,0,0,0,0,1,0,0,0
Abrir una sucursal para exhibición y venta de nuestros productos ya que actualmente solo contamos con bodega para fabricación y venta en redes sociales,0,0,0,0,0,0,0,1,0,0
PARA PAGAR PASIVOS ESPECÍFICAMENTE ADEUDOS FISCALES,0,1,0,0,0,0,0,0,0,0
Para remodelación en casa y adaptación de oficina  adecuación de espacios para Renta,0,0,0,0,0,0,0,1,0,0
compra de maquinaria  nueva e insumos para la elaboración de tortillas,0,0,1,0,0,0,0,0,0,0
Capital de trabajo para insumos de la construccion,0,0,1,0,0,0,0,0,0,0
Inversión en expansión de negocio a otros mercados a nivel nacional.,1,0,0,0,0,0,0,0,0,0
"Iniciar una empresa formal, compra de dispositivos móviles y de cómputo",0,0,0,1,0,0,0,0,0,0
Para comprar equipo de impresion digital,0,0,1,0,0,0,0,0,0,0
Adquisición de mercancías contratar personal,0,0,0,0,1,0,0,0,1,0
APERTURA DE NEGOCIO DE COCINA ECONOMICA.,0,0,0,1,0,0,0,0,0,0
Para afrontar un proyecto vial en Cancún,0,0,0,1,0,0,0,0,0,0
comprar herramienta que me hace falta para la facilidad de el trabajo mismo y otorgar un mejor servicio al cliente,0,0,1,0,0,0,0,0,0,0
Se empleara en la compra de activos que reduzcan los costos operativos actuales y mejoren la eficiencia de nuestros proyectos.,0,0,1,0,0,0,0,0,0,0
Compra de terreno para ya no pagar renta del negocio,0,0,0,0,0,0,0,1,0,0
Terminar pago de proveedor. Algunos gastos fijos . En lo que pagan factura de clientes.,0,1,0,0,0,0,0,0,0,0
Comprar más. Materia prima para mi negocio,0,0,0,0,1,0,0,0,0,0
"Capital de Trabajo, Pago a Proveedores para abrir credito existente, compra de mercancias",0,1,0,0,1,0,0,0,0,0
Una extensión de la empresa para soporte técnico y venta de equipos tecnológicos,1,0,0,0,0,0,0,0,0,0
Para reservaciones con antelación de viajes ya programados y abonar para una camioneta sprinter,0,0,0,0,0,0,1,0,0,0
Para invertirlo en la compra de productos,0,0,0,0,1,0,0,0,0,0
"Para maquinaria y dar crédito
",0,0,1,0,0,0,0,0,0,0
Quiero poner un negocio de papelería y necesito un préstamo para empezar,0,0,0,1,0,0,0,0,0,0
Mi tienda es de productos de computo en linea y necesito un financiamiento para la compra de mis productos y otorgar pago a contraentrega ademas de compra de mobiliario para oficina.,0,0,0,0,1,0,0,1,0,0
